Index_ID,Num_Index_ID,ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Index_Name,Table_Name,Column_Name,Sequence,Sort_Order
570130FA-D052-7C29-C3E8-6F7EC44E469A,262,8DEBDF8E-7F0B-F335-B881-42AE46E6780A,205,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,"TB_REPORTE_AUTORIDADE_TB_AUTORIDADE_FK","TB_REPORTE_AUTORIDADE","id_autoridade",1,ASC,
17C62B8D-EC44-48B1-FD90-1E6D1B670D2D,263,DA21F9D4-4F47-2D0D-2D43-A2023F453B41,217,E800FEE1-A976-F625-ECD8-A6E7FF637DC6,185,"TB_REPORTE_AUTORIDADE_TB_REPORTE_FK","TB_REPORTE_AUTORIDADE","id_reporte",1,ASC,
894BEF7C-6C1F-B3DD-99D3-7DE3EE8EADE5,264,EA635323-63D1-D56C-B480-AC99EE94859C,223,BF34F1FB-612B-E75C-69C9-E2368632743E,188,"TB_STATUS_REPORTE_TB_STATUS_FK","TB_STATUS_REPORTE","id_status",1,ASC,
EEE43B19-3855-D4D7-8DD2-D667DDC9FE30,265,65219EDA-96ED-1AAB-02E2-4E01FFD36DBC,219,BF34F1FB-612B-E75C-69C9-E2368632743E,188,"TB_STATUS_REPORTE_TB_REPORTE_FK","TB_STATUS_REPORTE","id_reporte",1,ASC,
F4CF2D8A-26C0-56FF-386C-565D3970A8F6,266,8FFEFD38-6F5B-0E9D-885D-58F761AA94E6,216,D86CFD22-F867-2CF7-8C56-58ED42BD2BE6,177,"TB_CHATBOT_LOG_TB_REPORTE_FK","TB_CHATBOT_LOG","id_reporte",1,ASC,
8B2CF988-FFCE-7278-3417-45AE925BF54B,267,77AD59F8-34BB-F2D6-A1DB-064BFB97970B,208,1482759F-CE1E-5498-B570-C3DDF62619C9,176,"TB_AUTORIDADE_TB_ENDERECO_FK","TB_AUTORIDADE","id_endereco",1,ASC,
179F6757-F82C-FFE0-369F-B69F9B310D77,268,5CB87FE3-2682-058B-675B-31F75C61BB60,209,734B5407-7EC9-92F6-0F6E-FEFD1CA0C7B0,189,"TB_SUBPREFEITURA_TB_ENDERECO_FK","TB_SUBPREFEITURA","id_endereco",1,ASC,
B88752CA-C793-853A-5B40-2773FF0E2AC7,269,96543B6C-5DAB-E249-D87B-70A715E151B4,211,9B786F98-8A13-725C-01EA-774F48CB32B4,181,"TB_MEDICOES_METEOROLOGICAS_TB_ESTACOES_METEOROLOGICAS_FK","TB_MEDICOES_METEOROLOGICAS","id_estacao_meteo",1,ASC,
8C60BE9F-8956-897F-0909-13C96DF31646,270,74D37331-B0FB-F746-85C5-F6B7AF424488,243,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,"TB_REGIAO_ATUACAO_TB_AUTORIDADE_FK","TB_REGIAO_ATUACAO","id_autoridade",1,ASC,
A5BD560F-F18E-275A-2811-23829CC20AA7,271,12A210FC-19B6-D5B3-FD40-880ACE6EE8C8,244,94BE37A9-2BB8-3685-8B38-40F3E36358E7,183,"TB_REGIAO_ATUACAO_TB_SUBPREFEITURA_FK","TB_REGIAO_ATUACAO","id_subprefeitura",1,ASC,
5FD54408-E67B-8959-EACB-725C421BA2CD,272,D7307A1F-0415-0907-38A0-C67032121529,245,6D3B484D-77F7-5E3A-0AD0-9B583EF0BCA5,184,"TB_REPORTE_TB_ENDERECO_FK","TB_REPORTE","id_endereco",1,ASC,
