ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
E808F4D4-C17F-6542-7ABC-3835D9BF854F,71,"Logical",Logical,,
F1B36C89-626C-788D-8D81-EF9043A80BB0,175,"Relational_1",Relational,Oracle Database 11g,
