Key_ID,Num_Key_ID,AttributeID,Num_AttributeID,Entity_ID,Num_Entity_ID,Key_Name,Entity_Name,Attribute_Name
61274658-750C-279B-D0A7-5228FB17A1B1,147,CADC720A-A7E7-9615-D95A-8162CB71AAB0,99,1B2BB4B2-3E50-3B16-7C04-A91BEFD97CD8,72,"TB_AUTORIDADE PK","TB_AUTORIDADE","id_autoridade",
57C285FA-3A69-B90D-F43F-D5DE8E553A65,148,96222DA8-8134-B70A-ADCA-8AD7708B4582,104,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,"TB_CHATBOT_LOG PK","TB_CHATBOT_LOG","id_log",
57C285FA-3A69-B90D-F43F-D5DE8E553A65,148,40592F7F-6F35-0902-301E-725FE9B5BD9B,109,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,"TB_CHATBOT_LOG PK","TB_CHATBOT_LOG","id_reporte",
57C285FA-3A69-B90D-F43F-D5DE8E553A65,148,915D4F8E-306F-346B-DAE7-C6E0802A9E17,143,3B2701B3-D435-AEEA-AA32-F9606A6899F0,73,"TB_CHATBOT_LOG PK","TB_CHATBOT_LOG","id_endereco",
758EDA7E-807D-06CF-F58C-A1C408AD7F81,149,A09C299F-E065-7997-ACAD-A6841A11A82B,102,948CB763-06B2-7089-5BCE-A2201CD40921,74,"TB_ENDERECO PK","TB_ENDERECO","id_endereco",
CDFAE145-B949-6421-B58D-CB80EE600622,150,87F47E49-AC9F-B45B-F7D9-FFA407C827A5,103,396BA01D-AF73-4A6C-4589-80126BF986BA,75,"TB_ESTACOES_METEOROLOGICAS PK","TB_ESTACOES_METEOROLOGICAS","id_estacao_meteo",
CDFAE145-B949-6421-B58D-CB80EE600622,150,20944EB6-C2D1-BECF-E706-566EFCBCE838,138,396BA01D-AF73-4A6C-4589-80126BF986BA,75,"TB_ESTACOES_METEOROLOGICAS PK","TB_ESTACOES_METEOROLOGICAS","id_endereco",
C3BCF046-16D4-A731-66AB-1501147C556A,151,51AAEBBB-B89A-0BD8-8940-ED5C1AB49F71,135,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,"TB_MEDICOES_METEOROLOGICAS PK","TB_MEDICOES_METEOROLOGICAS","id_estacao_meteo",
C3BCF046-16D4-A731-66AB-1501147C556A,151,24743B30-61ED-0BB7-F596-B709DC28339C,139,71ED427E-3C76-14BB-18D2-6AE4331707F9,77,"TB_MEDICOES_METEOROLOGICAS PK","TB_MEDICOES_METEOROLOGICAS","id_endereco",
6BE785AA-3868-05BA-7E26-59CC04079374,152,F6A9ABA9-6339-7517-4C88-13CB9ADFC765,105,14B7E047-E344-5F96-E458-3B352E4A38D6,78,"TB_OCORRENCIA PK","TB_OCORRENCIA","id_ocorrencia",
B195420F-6CB5-6CF6-C500-B14006A56D94,153,495B566E-B6B9-C361-79DA-8D7C903F741E,133,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,"TB_REGIAO_ATUACAO PK","TB_REGIAO_ATUACAO","id_subprefeitura",
B195420F-6CB5-6CF6-C500-B14006A56D94,153,0A470F67-400D-9ED5-5CE7-AD6CE80A7F78,141,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,"TB_REGIAO_ATUACAO PK","TB_REGIAO_ATUACAO","id_endereco",
B195420F-6CB5-6CF6-C500-B14006A56D94,153,7C8065A4-6891-E7F4-1305-50D89A711A7B,134,BB05F962-20AA-CCE9-18C2-51DEA2A9A7C1,79,"TB_REGIAO_ATUACAO PK","TB_REGIAO_ATUACAO","id_autoridade",
E8323653-89FB-F2D1-3FC9-B22C950FD78D,154,E4BB760F-9AC6-F6A0-324E-288A8DE74943,110,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,"TB_REPORTE_AUTORIDADE PK","TB_REPORTE_AUTORIDADE","id_reporte_autoridade",
E8323653-89FB-F2D1-3FC9-B22C950FD78D,154,5CB10735-3270-E1EB-8D41-4E8BFB58CE8A,101,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,"TB_REPORTE_AUTORIDADE PK","TB_REPORTE_AUTORIDADE","id_autoridade",
E8323653-89FB-F2D1-3FC9-B22C950FD78D,154,CC8CB2BC-AC49-C1A1-1F8D-FFBFABAB9700,107,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,"TB_REPORTE_AUTORIDADE PK","TB_REPORTE_AUTORIDADE","id_reporte",
E8323653-89FB-F2D1-3FC9-B22C950FD78D,154,4769F685-4682-89B5-1A2B-0C459013A927,146,03FE75E7-2A8E-B202-ED63-6FDF16D724E6,81,"TB_REPORTE_AUTORIDADE PK","TB_REPORTE_AUTORIDADE","id_endereco",
A8F11672-98A3-39D1-B498-5A21CF8951E9,155,9A45BBC4-E20F-5C26-E00E-3213260ECF98,111,549097C1-DAAD-397D-EACF-63D80E9B075B,82,"TB_REPORTE_OCORRENCIA PK","TB_REPORTE_OCORRENCIA","id_reporte_ocorrencia",
A8F11672-98A3-39D1-B498-5A21CF8951E9,155,5E4B0686-5E96-17CB-7E52-617EA2F97D91,136,549097C1-DAAD-397D-EACF-63D80E9B075B,82,"TB_REPORTE_OCORRENCIA PK","TB_REPORTE_OCORRENCIA","id_ocorrencia",
A8F11672-98A3-39D1-B498-5A21CF8951E9,155,1A5B27E1-86D8-3EE7-1419-56ECB17AB78D,137,549097C1-DAAD-397D-EACF-63D80E9B075B,82,"TB_REPORTE_OCORRENCIA PK","TB_REPORTE_OCORRENCIA","id_reporte",
A8F11672-98A3-39D1-B498-5A21CF8951E9,155,2ED48660-69AC-C886-1D20-6BEB5D1F9912,145,549097C1-DAAD-397D-EACF-63D80E9B075B,82,"TB_REPORTE_OCORRENCIA PK","TB_REPORTE_OCORRENCIA","id_endereco",
58373454-0DC8-204C-80D6-6F38BF549E72,156,01390A58-1589-C0EA-E9E7-A4FB0B72202A,106,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,"TB_REPORTE PK","TB_REPORTE","id_reporte",
58373454-0DC8-204C-80D6-6F38BF549E72,156,9916EA62-17AE-7ADC-596F-9AE19EA74CB2,142,393993FF-19F1-E342-3FD5-AA99371CB3DF,80,"TB_REPORTE PK","TB_REPORTE","id_endereco",
D079EDC7-D9F7-40C5-013A-8ABA1D037530,157,F7DB3A79-8843-C753-4A7B-EE2114DEAE50,113,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,"TB_STATUS_REPORTE PK","TB_STATUS_REPORTE","id_status",
D079EDC7-D9F7-40C5-013A-8ABA1D037530,157,B08E8214-54EA-7062-8795-E0269FC5700F,108,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,"TB_STATUS_REPORTE PK","TB_STATUS_REPORTE","id_reporte",
D079EDC7-D9F7-40C5-013A-8ABA1D037530,157,B2374266-9A8E-3563-A86C-DB1D8555FF7D,144,79B6A2F5-EF0D-B830-8177-5E8D3B932C57,84,"TB_STATUS_REPORTE PK","TB_STATUS_REPORTE","id_endereco",
5667F480-8AED-602B-0881-F7EC689B78E4,158,A20A5E0E-77ED-1324-4321-7A1FE0E5839D,112,36BC0656-D8B2-44DA-7C3C-D4B113B12ED2,83,"TB_STATUS PK","TB_STATUS","id_status",
703F55A5-306D-8D01-A64B-9D4526FC638F,159,A43DA1FE-2200-7D1E-20EE-536B6ABF9A69,114,CB146D74-772C-729F-4A55-8250F2A012C4,85,"TB_SUBPREFEITURA PK","TB_SUBPREFEITURA","id_subprefeitura",
703F55A5-306D-8D01-A64B-9D4526FC638F,159,9DF54335-3165-DB15-8E81-5DDF6C23AAAC,140,CB146D74-772C-729F-4A55-8250F2A012C4,85,"TB_SUBPREFEITURA PK","TB_SUBPREFEITURA","id_endereco",
